gene                gene_dist  iterations  gene_biotype
"pre-mod(mdg4)-N"   5375       13          "protein_coding"
"pre-mod(mdg4)-AA"  5375       13          "protein_coding"
"pre-mod(mdg4)-O"   5375       13          "protein_coding"
"pre-mod(mdg4)-U"   9143       13          "protein_coding"
"pre-mod(mdg4)-V"   9620       13          "protein_coding"
"pre-mod(mdg4)-X"   9620       13          "protein_coding"
"pre-mod(mdg4)-AD"  10671      13          "protein_coding"
"pre-mod(mdg4)-W"   10671      13          "protein_coding"
"pre-mod(mdg4)-AE"  10671      13          "protein_coding"
"pre-mod(mdg4)-Y"   10972      13          "protein_coding"
"pre-mod(mdg4)-E"   13462      13          "protein_coding"
"pre-mod(mdg4)-AB"  13660      13          "protein_coding"
"pre-mod(mdg4)-C"   13660      13          "protein_coding"
"pre-mod(mdg4)-T"   16819      13          "protein_coding"
"pre-mod(mdg4)-Z"   16819      13          "protein_coding"
"pre-mod(mdg4)-J"   19182      13          "protein_coding"
"pre-mod(mdg4)-P"   19182      13          "protein_coding"
"pre-mod(mdg4)-L"   19182      13          "protein_coding"
"pre-mod(mdg4)-K"   19182      13          "protein_coding"
"pre-mod(mdg4)-I"   19182      13          "protein_coding"
