t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM
9	3R	-	3461351	3587054	FBtr0113885	6	3112	P35875	Parp	20.607738	25.284622
36	3R	-	4189692	4190260	FBtr0078989	1	569	P09040	Dsk	0.000000	0.000000
52	3R	+	4233047	4235041	FBtr0078967	1	1995	Q9V3C0	abs	32.944862	40.421635
53	3R	+	4235217	4241057	FBtr0078968	8	2836	Q07171	Gel	0.000000	0.000000
54	3R	+	4235217	4241057	FBtr0078969	10	2940	Q07171	Gel	0.000000	0.000000
55	3R	+	4235217	4241057	FBtr0078973	8	2807	Q07171	Gel	0.000000	0.000000
56	3R	+	4235217	4241057	FBtr0309256	9	2897	Q07171	Gel	0.000000	0.000000
57	3R	+	4235217	4241057	FBtr0336707	7	2584	Q07171	Gel	0.000000	0.000000
58	3R	+	4236788	4241057	FBtr0078971	7	2628	Q07171	Gel	0.000000	0.000000
59	3R	+	4236788	4241057	FBtr0309257	8	2839	Q07171	Gel	0.000000	0.000000
72	3R	+	4256972	4258444	FBtr0078977	6	1158	P82986	Or82a	0.000000	0.000000
77	3R	+	4280221	4301541	FBtr0078897	7	3628	Q8IPM8	cpx	0.000000	0.000000
78	3R	+	4280221	4304604	FBtr0336482	5	9682	Q8IPM8	cpx	0.000000	0.000000
79	3R	+	4280385	4301541	FBtr0078898	7	3577	Q8IPM8	cpx	0.000000	0.000000
80	3R	+	4280385	4301541	FBtr0078899	7	3930	Q8IPM8	cpx	0.000000	0.000000
81	3R	+	4280385	4301541	FBtr0301768	7	5137	Q8IPM8	cpx	0.000000	0.000000
82	3R	+	4280385	4301541	FBtr0301769	7	3538	Q8IPM8	cpx	0.000000	0.000000
83	3R	+	4281705	4301541	FBtr0078900	7	3650	Q8IPM8	cpx	0.000000	0.000000
84	3R	+	4281705	4304604	FBtr0078902	6	2888	Q8IPM8	cpx	0.000000	0.000000
85	3R	+	4281838	4301541	FBtr0113338	7	3649	Q8IPM8	cpx	0.000000	0.000000
86	3R	+	4281838	4301541	FBtr0113340	7	3576	Q8IPM8	cpx	0.000000	0.000000
87	3R	+	4281838	4301541	FBtr0301770	7	3561	Q8IPM8	cpx	0.000000	0.000000
88	3R	+	4282164	4301541	FBtr0113341	7	3634	Q8IPM8	cpx	0.000000	0.000000
89	3R	+	4282164	4301541	FBtr0300789	8	3655	Q8IPM8	cpx	0.000000	0.000000
90	3R	+	4282164	4304604	FBtr0301771	6	8078	Q8IPM8	cpx	0.000000	0.000000
91	3R	+	4282625	4301541	FBtr0078901	6	3541	Q8IPM8	cpx	0.000000	0.000000
92	3R	+	4282625	4301541	FBtr0301772	7	3544	Q8IPM8	cpx	0.000000	0.000000
93	3R	+	4291738	4296962	FBtr0310506	3	2094	Q8IPM8	cpx	0.000000	0.000000
94	3R	+	4291738	4301541	FBtr0100500	5	3682	Q8IPM8	cpx	0.000000	0.000000
95	3R	+	4291738	4301541	FBtr0113337	5	3485	Q8IPM8	cpx	0.000000	0.000000
96	3R	+	4291738	4304604	FBtr0310614	5	3803	Q8IPM8	cpx	0.000000	0.000000
98	3R	+	4294862	4301541	FBtr0100499	5	3233	Q8IPM8	cpx	0.000000	0.000000
